element_size,mean_soas,std_soas,mean_genericview,std_genericview
10,0.020969250,0.001510952,0.020182750,0.000164479
100,0.020567350,0.000120714,0.020285350,0.000200057
1000,0.028339050,0.000198610,0.027605250,0.000185741
10000,0.028835400,0.000265594,0.027980800,0.000162962
100000,0.045802600,0.000181107,0.044919000,0.000141092
250000,0.249973800,0.000691409,0.250072400,0.001290252
750000,0.996157850,0.009590468,0.993543450,0.008510124
1000000,1.347403500,0.005096664,1.340372500,0.009061124
