element_size,mean_soas,std_soas,mean_genericview,std_genericview
10,0.016845250,0.000129772,0.015918650,0.000037068
100,0.170217800,0.003186863,0.166851250,0.002850213
1000,1.964359000,0.012902099,1.939189000,0.011046120
10000,20.307565000,0.096542787,20.127820000,0.247772044
100000,203.876300000,0.658426362,201.909200000,0.713175670
250000,510.022800000,1.099609385,505.292950000,1.822927099
750000,1532.574500000,9.731666420,1522.898500000,15.223761993
1000000,2050.732500000,30.249264606,2037.317000000,33.171616132
