element_size,mean_soas,std_soas,mean_genericview,std_genericview
10,0.032953700,0.001658259,0.032556000,0.000258637
100,0.032885000,0.001725318,0.032320450,0.000259839
1000,0.040682050,0.002179937,0.039839900,0.000286488
10000,0.040967600,0.001052227,0.040946000,0.000865645
100000,0.061644400,0.000357524,0.061511850,0.000406528
250000,0.270517850,0.000676453,0.271336250,0.000597806
750000,1.020896000,0.008296252,1.021591000,0.009921366
1000000,1.397634500,0.007859118,1.402502000,0.008640836
