element_size,mean_soas,std_soas,mean_genericview,std_genericview
10,0.015831250,0.000034909,0.016363250,0.002510866
100,0.168850700,0.005766311,0.166805650,0.003040571
1000,1.938534500,0.005037152,1.936638500,0.006793024
10000,20.106860000,0.043895599,20.219355000,0.388958030
