element_size,mean_soas,std_soas,mean_genericview,std_genericview
10,0.015944100,0.000113115,0.015878900,0.000018756
100,0.167814250,0.003324795,0.169710250,0.001788549
1000,1.961969000,0.014287291,1.958384500,0.013423761
10000,20.284710000,0.082227834,20.275800000,0.082521193
100000,203.450100000,0.709946469,203.585650000,0.451378855
250000,511.592550000,10.586174442,512.318350000,10.374854577
750000,1535.807000000,22.557250696,1537.499500000,22.001849557
1000000,2043.364000000,16.624261408,2045.614000000,17.334702463
